,RMSE,MAE,NLL,CRPS,Coverage@95,Width@95,MiscalArea,AURC
NNGP,71.757,60.535,5.766,42.452,0.898,217.282,0.126,64.892
DeepEnsemble,70.23,57.588,5.89,42.291,0.864,275.968,0.045,69.977
MCDropout,76.435,63.241,10.198,53.398,0.341,84.144,0.315,68.055
RBF-GP,61.48,50.815,5.543,35.33,0.92,222.167,0.053,62.03
